#{"t_start": 1770202582.7196672, "env_id": "None"}
r,l,t
-232.03055,300,159.67245
-322.24774,300,159.71161
-526.85834,300,159.714814
-381.56302,270,159.720149
-651.0877,300,159.720184
-303.98108,300,159.739937
-272.56372,300,159.803802
-233.68593,300,159.821167
-283.6732,300,159.83369
-621.08276,300,159.842693
-553.5529,300,159.85609
-282.41946,300,159.859365
-989.5551,300,159.859393
-577.37225,300,159.949316
-109.19977,300,159.956661
-55.698982,143,159.963105
-349.6935,300,159.967984
-208.75067,300,159.973491
-625.96405,300,160.007273
-391.86368,300,160.010557
-330.7553,300,160.015859
-144.32751,300,160.015888
-194.92586,300,160.03526
-76.6742,300,160.100312
-9.778608,143,160.105896
-343.91226,300,160.133373
-200.94705,300,160.14274
-300.07486,300,160.154783
-583.0636,300,160.157867
-140.79744,300,160.157898
-407.8728,300,160.25232
-345.59357,300,160.260025
-441.089,300,160.273251
-291.23727,300,160.279979
-213.10965,300,160.31723
-462.74106,300,160.320826
-270.86703,300,160.327471
-636.9044,300,160.327504
-82.928406,300,160.348246
9.980312,1,160.349508
-84.7015,300,160.416983
-447.00748,300,160.422353
-275.27197,300,160.450728
-466.7435,300,160.4606
-275.2786,300,160.476438
-1195.3064,300,160.480114
-702.9944,300,160.480144
-485.72888,287,160.571876
-451.89548,300,160.57845
-373.88983,300,160.598814
-136.668,300,160.605386
-301.44214,300,160.642365
-528.9719,300,160.645886
-218.66443,300,160.651267
-301.554,300,160.651298
-468.1027,300,160.672536
-585.88434,300,160.74004
-383.12543,300,160.74556
